SadOrHopeless,HowTallAreYouWithoutShoesInMeters,Sad_Binary
2.0,1.52,0.0
2.0,1.6,0.0
2.0,1.83,0.0
1.0,1.7,1.0
2.0,1.5,0.0
2.0,1.63,0.0
2.0,1.8,0.0
2.0,1.57,0.0
2.0,1.7,0.0
1.0,1.68,1.0
2.0,1.6,0.0
1.0,1.57,1.0
2.0,1.55,0.0
2.0,1.6,0.0
2.0,1.73,0.0
2.0,1.27,0.0
2.0,1.57,0.0
1.0,1.63,1.0
2.0,1.8,0.0
2.0,1.83,0.0
1.0,1.55,1.0
2.0,1.68,0.0
1.0,1.68,1.0
2.0,1.6,0.0
1.0,1.65,1.0
2.0,1.5,0.0
2.0,1.65,0.0
2.0,1.52,0.0
1.0,1.68,1.0
2.0,1.73,0.0
2.0,1.73,0.0
2.0,1.68,0.0
2.0,1.78,0.0
2.0,1.57,0.0
2.0,1.6,0.0
1.0,1.63,1.0
2.0,1.8,0.0
2.0,1.83,0.0
1.0,1.83,1.0
2.0,1.75,0.0
2.0,1.47,0.0
1.0,1.78,1.0
2.0,1.5,0.0
1.0,1.63,1.0
2.0,1.57,0.0
2.0,1.55,0.0
2.0,1.6,0.0
1.0,1.6,1.0
2.0,1.52,0.0
2.0,1.65,0.0
2.0,1.68,0.0
2.0,1.78,0.0
1.0,1.7,1.0
1.0,1.75,1.0
2.0,1.78,0.0
1.0,1.65,1.0
2.0,1.73,0.0
2.0,1.73,0.0
2.0,1.78,0.0
2.0,1.68,0.0
1.0,1.73,1.0
1.0,1.57,1.0
2.0,1.68,0.0
1.0,1.75,1.0
2.0,1.75,0.0
2.0,1.83,0.0
2.0,1.63,0.0
2.0,1.57,0.0
2.0,1.7,0.0
1.0,1.65,1.0
2.0,1.68,0.0
1.0,1.55,1.0
2.0,1.73,0.0
2.0,1.7,0.0
1.0,1.7,1.0
2.0,1.96,0.0
2.0,1.75,0.0
2.0,1.8,0.0
1.0,1.8,1.0
2.0,1.8,0.0
2.0,1.75,0.0
2.0,1.8,0.0
2.0,1.73,0.0
2.0,1.83,0.0
2.0,1.75,0.0
1.0,1.6,1.0
2.0,1.6,0.0
2.0,1.6,0.0
2.0,1.63,0.0
2.0,1.63,0.0
2.0,1.5,0.0
2.0,1.63,0.0
2.0,1.63,0.0
2.0,1.6,0.0
1.0,1.75,1.0
2.0,1.6,0.0
2.0,1.8,0.0
2.0,1.68,0.0
1.0,1.9,1.0
2.0,1.73,0.0
2.0,1.88,0.0
2.0,1.85,0.0
2.0,1.75,0.0
2.0,1.83,0.0
2.0,1.6,0.0
2.0,1.63,0.0
1.0,1.73,1.0
1.0,1.7,1.0
2.0,1.68,0.0
2.0,1.9,0.0
2.0,1.9,0.0
2.0,1.7,0.0
1.0,1.7,1.0
2.0,1.8,0.0
2.0,1.8,0.0
2.0,1.75,0.0
2.0,1.68,0.0
2.0,1.6,0.0
2.0,1.63,0.0
2.0,1.5,0.0
1.0,1.63,1.0
2.0,1.68,0.0
1.0,1.63,1.0
2.0,1.7,0.0
1.0,1.6,1.0
2.0,1.85,0.0
2.0,2.06,0.0
1.0,1.6,1.0
2.0,1.6,0.0
2.0,1.7,0.0
1.0,1.73,1.0
2.0,1.57,0.0
2.0,1.6,0.0
2.0,1.6,0.0
2.0,1.65,0.0
2.0,1.65,0.0
2.0,1.63,0.0
2.0,1.73,0.0
2.0,1.65,0.0
2.0,1.68,0.0
2.0,1.68,0.0
2.0,1.65,0.0
2.0,1.75,0.0
2.0,1.68,0.0
2.0,1.68,0.0
2.0,1.85,0.0
2.0,1.83,0.0
2.0,1.78,0.0
2.0,1.68,0.0
2.0,1.7,0.0
2.0,1.75,0.0
2.0,1.75,0.0
2.0,1.7,0.0
2.0,1.75,0.0
1.0,1.85,1.0
2.0,1.65,0.0
2.0,1.63,0.0
2.0,1.8,0.0
2.0,1.85,0.0
2.0,1.78,0.0
2.0,1.88,0.0
2.0,1.52,0.0
2.0,1.75,0.0
2.0,1.73,0.0
2.0,1.85,0.0
2.0,1.85,0.0
1.0,1.83,1.0
2.0,1.65,0.0
2.0,1.68,0.0
2.0,1.75,0.0
2.0,1.73,0.0
2.0,1.7,0.0
1.0,1.75,1.0
1.0,1.5,1.0
2.0,1.63,0.0
2.0,1.63,0.0
2.0,1.6,0.0
1.0,1.6,1.0
2.0,1.73,0.0
2.0,1.63,0.0
1.0,1.63,1.0
1.0,1.83,1.0
2.0,1.73,0.0
2.0,1.78,0.0
2.0,1.78,0.0
2.0,1.8,0.0
1.0,1.63,1.0
2.0,1.55,0.0
2.0,1.6,0.0
2.0,1.63,0.0
2.0,1.52,0.0
1.0,1.73,1.0
2.0,1.57,0.0
2.0,1.73,0.0
2.0,1.68,0.0
2.0,1.47,0.0
2.0,1.7,0.0
2.0,1.68,0.0
2.0,1.9,0.0
2.0,1.78,0.0
2.0,1.73,0.0
2.0,1.68,0.0
2.0,1.73,0.0
2.0,1.88,0.0
2.0,1.73,0.0
2.0,1.8,0.0
2.0,1.88,0.0
1.0,1.75,1.0
2.0,1.83,0.0
2.0,1.75,0.0
2.0,1.83,0.0
2.0,1.83,0.0
2.0,1.73,0.0
1.0,1.7,1.0
1.0,1.88,1.0
2.0,1.78,0.0
2.0,1.7,0.0
2.0,1.68,0.0
2.0,1.73,0.0
2.0,1.63,0.0
2.0,1.6,0.0
2.0,1.52,0.0
2.0,1.78,0.0
2.0,1.75,0.0
2.0,1.6,0.0
2.0,1.65,0.0
1.0,1.65,1.0
2.0,1.7,0.0
1.0,1.73,1.0
2.0,1.6,0.0
2.0,1.65,0.0
2.0,1.6,0.0
2.0,1.65,0.0
1.0,1.57,1.0
2.0,1.55,0.0
2.0,1.65,0.0
2.0,1.6,0.0
1.0,1.73,1.0
1.0,1.8,1.0
2.0,1.85,0.0
1.0,1.78,1.0
2.0,1.7,0.0
2.0,1.75,0.0
1.0,1.65,1.0
2.0,1.8,0.0
2.0,1.83,0.0
2.0,1.7,0.0
2.0,1.65,0.0
2.0,1.73,0.0
2.0,1.65,0.0
2.0,1.63,0.0
1.0,1.57,1.0
2.0,1.57,0.0
2.0,1.5,0.0
1.0,1.52,1.0
1.0,1.68,1.0
2.0,1.57,0.0
2.0,1.65,0.0
2.0,1.6,0.0
2.0,1.57,0.0
2.0,1.65,0.0
1.0,1.55,1.0
2.0,1.7,0.0
2.0,1.7,0.0
2.0,1.88,0.0
1.0,1.68,1.0
2.0,1.68,0.0
2.0,1.83,0.0
2.0,1.83,0.0
1.0,1.8,1.0
1.0,1.75,1.0
1.0,1.5,1.0
1.0,1.68,1.0
2.0,1.63,0.0
2.0,1.83,0.0
2.0,1.78,0.0
2.0,1.73,0.0
2.0,1.85,0.0
2.0,1.78,0.0
2.0,1.73,0.0
1.0,1.65,1.0
2.0,1.5,0.0
2.0,1.63,0.0
2.0,1.7,0.0
2.0,1.68,0.0
1.0,1.55,1.0
1.0,1.6,1.0
2.0,1.57,0.0
2.0,1.55,0.0
2.0,1.63,0.0
1.0,1.65,1.0
1.0,1.75,1.0
1.0,1.7,1.0
2.0,1.73,0.0
2.0,1.7,0.0
2.0,1.65,0.0
2.0,1.88,0.0
2.0,1.88,0.0
2.0,1.75,0.0
2.0,1.7,0.0
2.0,1.73,0.0
2.0,1.63,0.0
2.0,1.55,0.0
2.0,1.6,0.0
2.0,1.75,0.0
2.0,1.63,0.0
2.0,1.8,0.0
1.0,1.73,1.0
2.0,1.57,0.0
2.0,1.68,0.0
2.0,1.73,0.0
2.0,1.9,0.0
2.0,1.78,0.0
2.0,1.7,0.0
2.0,1.83,0.0
1.0,1.8,1.0
2.0,1.75,0.0
2.0,1.83,0.0
2.0,1.88,0.0
2.0,1.8,0.0
1.0,1.7,1.0
2.0,1.55,0.0
2.0,1.7,0.0
1.0,1.73,1.0
2.0,1.6,0.0
2.0,1.57,0.0
2.0,1.68,0.0
2.0,1.68,0.0
2.0,1.68,0.0
2.0,1.63,0.0
1.0,1.65,1.0
1.0,1.6,1.0
2.0,1.78,0.0
2.0,1.78,0.0
2.0,1.85,0.0
2.0,1.78,0.0
1.0,1.75,1.0
1.0,1.75,1.0
2.0,1.73,0.0
1.0,1.78,1.0
2.0,1.68,0.0
2.0,1.73,0.0
2.0,1.73,0.0
2.0,1.68,0.0
2.0,1.57,0.0
1.0,1.65,1.0
2.0,1.52,0.0
2.0,1.68,0.0
2.0,1.52,0.0
2.0,1.73,0.0
2.0,1.6,0.0
2.0,1.5,0.0
2.0,1.65,0.0
2.0,1.6,0.0
1.0,1.63,1.0
1.0,1.75,1.0
2.0,1.6,0.0
2.0,1.83,0.0
2.0,1.55,0.0
2.0,1.8,0.0
2.0,1.6,0.0
1.0,1.65,1.0
2.0,1.78,0.0
1.0,1.75,1.0
2.0,1.75,0.0
2.0,1.8,0.0
2.0,1.68,0.0
2.0,1.73,0.0
2.0,1.75,0.0
2.0,1.85,0.0
2.0,1.73,0.0
2.0,1.63,0.0
2.0,1.83,0.0
2.0,1.73,0.0
2.0,1.68,0.0
2.0,1.75,0.0
2.0,1.6,0.0
2.0,1.78,0.0
2.0,1.6,0.0
2.0,1.7,0.0
2.0,1.65,0.0
2.0,1.68,0.0
2.0,1.65,0.0
1.0,1.83,1.0
2.0,1.68,0.0
2.0,1.63,0.0
1.0,1.65,1.0
1.0,1.63,1.0
2.0,1.65,0.0
2.0,1.65,0.0
2.0,1.65,0.0
2.0,1.6,0.0
2.0,1.65,0.0
1.0,1.52,1.0
2.0,1.68,0.0
2.0,1.68,0.0
2.0,1.55,0.0
2.0,1.63,0.0
1.0,1.6,1.0
2.0,1.75,0.0
2.0,1.65,0.0
2.0,1.8,0.0
1.0,1.75,1.0
2.0,1.83,0.0
2.0,1.78,0.0
2.0,1.78,0.0
1.0,1.83,1.0
2.0,1.68,0.0
2.0,1.88,0.0
2.0,1.73,0.0
2.0,1.57,0.0
2.0,1.57,0.0
2.0,1.6,0.0
2.0,1.68,0.0
2.0,1.6,0.0
2.0,1.63,0.0
2.0,1.68,0.0
2.0,1.57,0.0
1.0,1.75,1.0
2.0,1.7,0.0
2.0,1.78,0.0
1.0,1.88,1.0
1.0,1.75,1.0
2.0,1.68,0.0
2.0,1.75,0.0
2.0,1.83,0.0
2.0,1.7,0.0
2.0,1.88,0.0
2.0,1.8,0.0
2.0,1.85,0.0
2.0,1.73,0.0
2.0,1.83,0.0
2.0,1.85,0.0
2.0,1.7,0.0
2.0,1.7,0.0
2.0,1.63,0.0
1.0,1.65,1.0
1.0,1.52,1.0
2.0,1.63,0.0
2.0,1.57,0.0
2.0,1.75,0.0
1.0,1.63,1.0
2.0,1.52,0.0
2.0,1.63,0.0
2.0,1.55,0.0
2.0,1.7,0.0
2.0,1.63,0.0
1.0,1.7,1.0
2.0,1.65,0.0
1.0,1.75,1.0
2.0,1.73,0.0
1.0,1.7,1.0
2.0,1.88,0.0
1.0,1.75,1.0
2.0,1.63,0.0
2.0,1.5,0.0
2.0,1.57,0.0
2.0,1.75,0.0
2.0,1.55,0.0
1.0,1.7,1.0
2.0,1.55,0.0
2.0,1.7,0.0
2.0,1.7,0.0
2.0,1.6,0.0
2.0,1.63,0.0
2.0,1.78,0.0
2.0,1.96,0.0
2.0,1.73,0.0
2.0,1.9,0.0
2.0,1.78,0.0
2.0,1.52,0.0
1.0,1.55,1.0
1.0,1.75,1.0
2.0,1.68,0.0
2.0,1.63,0.0
1.0,1.68,1.0
2.0,1.55,0.0
1.0,1.57,1.0
2.0,1.52,0.0
2.0,1.78,0.0
2.0,1.65,0.0
1.0,1.6,1.0
2.0,1.57,0.0
2.0,1.63,0.0
2.0,1.63,0.0
2.0,1.6,0.0
2.0,1.7,0.0
2.0,1.7,0.0
1.0,1.85,1.0
1.0,1.75,1.0
2.0,1.85,0.0
2.0,1.68,0.0
2.0,1.6,0.0
2.0,1.8,0.0
2.0,1.63,0.0
2.0,1.57,0.0
1.0,1.73,1.0
2.0,1.55,0.0
1.0,1.6,1.0
2.0,1.73,0.0
1.0,1.7,1.0
2.0,1.68,0.0
1.0,1.73,1.0
2.0,1.57,0.0
1.0,1.65,1.0
2.0,1.8,0.0
2.0,1.73,0.0
2.0,1.78,0.0
2.0,1.85,0.0
2.0,1.93,0.0
1.0,1.85,1.0
2.0,1.8,0.0
1.0,1.7,1.0
2.0,1.7,0.0
2.0,1.8,0.0
1.0,1.68,1.0
1.0,1.6,1.0
2.0,1.55,0.0
1.0,1.55,1.0
1.0,1.65,1.0
1.0,1.63,1.0
2.0,1.75,0.0
2.0,1.6,0.0
2.0,1.7,0.0
2.0,1.73,0.0
2.0,1.78,0.0
2.0,1.75,0.0
2.0,1.75,0.0
2.0,1.8,0.0
2.0,1.78,0.0
2.0,1.85,0.0
2.0,1.7,0.0
2.0,1.63,0.0
1.0,1.85,1.0
1.0,1.63,1.0
2.0,1.65,0.0
2.0,1.85,0.0
2.0,1.63,0.0
2.0,1.6,0.0
2.0,1.55,0.0
1.0,1.63,1.0
2.0,1.6,0.0
2.0,1.63,0.0
2.0,1.78,0.0
2.0,1.63,0.0
2.0,1.65,0.0
1.0,1.57,1.0
2.0,1.83,0.0
2.0,1.75,0.0
2.0,1.78,0.0
2.0,1.98,0.0
2.0,1.8,0.0
2.0,1.8,0.0
2.0,1.83,0.0
1.0,1.83,1.0
2.0,1.8,0.0
2.0,1.8,0.0
2.0,1.96,0.0
2.0,1.7,0.0
1.0,1.6,1.0
2.0,1.65,0.0
2.0,1.88,0.0
2.0,1.73,0.0
1.0,1.7,1.0
1.0,1.63,1.0
2.0,1.75,0.0
2.0,1.55,0.0
2.0,1.7,0.0
2.0,1.68,0.0
1.0,1.68,1.0
2.0,1.8,0.0
1.0,1.6,1.0
2.0,1.83,0.0
2.0,1.75,0.0
2.0,1.83,0.0
2.0,1.75,0.0
2.0,1.88,0.0
2.0,1.83,0.0
2.0,1.85,0.0
2.0,1.78,0.0
2.0,1.57,0.0
2.0,1.55,0.0
1.0,1.6,1.0
1.0,1.65,1.0
2.0,1.85,0.0
2.0,1.85,0.0
2.0,1.57,0.0
2.0,1.68,0.0
2.0,1.85,0.0
2.0,1.75,0.0
2.0,1.78,0.0
2.0,1.93,0.0
2.0,1.83,0.0
2.0,1.8,0.0
2.0,1.98,0.0
2.0,1.7,0.0
2.0,1.83,0.0
2.0,1.83,0.0
2.0,1.73,0.0
2.0,1.98,0.0
2.0,1.96,0.0
2.0,1.83,0.0
2.0,1.9,0.0
1.0,1.73,1.0
2.0,1.88,0.0
2.0,1.8,0.0
2.0,1.88,0.0
2.0,1.73,0.0
2.0,1.83,0.0
2.0,1.63,0.0
2.0,1.68,0.0
2.0,1.65,0.0
2.0,1.6,0.0
1.0,1.7,1.0
2.0,1.7,0.0
1.0,1.7,1.0
1.0,1.57,1.0
2.0,1.6,0.0
2.0,1.63,0.0
2.0,1.73,0.0
2.0,1.88,0.0
1.0,1.57,1.0
2.0,1.83,0.0
2.0,1.7,0.0
2.0,1.73,0.0
2.0,1.83,0.0
2.0,1.6,0.0
2.0,1.55,0.0
2.0,1.9,0.0
2.0,1.57,0.0
1.0,1.65,1.0
2.0,1.57,0.0
2.0,1.73,0.0
2.0,1.65,0.0
2.0,1.78,0.0
2.0,1.68,0.0
2.0,1.68,0.0
1.0,1.7,1.0
2.0,1.75,0.0
2.0,1.75,0.0
2.0,1.73,0.0
2.0,1.7,0.0
2.0,1.65,0.0
1.0,1.7,1.0
2.0,1.68,0.0
2.0,1.93,0.0
2.0,1.78,0.0
1.0,1.65,1.0
2.0,1.78,0.0
2.0,1.88,0.0
2.0,1.75,0.0
1.0,1.63,1.0
2.0,1.63,0.0
2.0,1.85,0.0
2.0,1.65,0.0
2.0,1.73,0.0
1.0,1.65,1.0
2.0,1.8,0.0
1.0,1.75,1.0
2.0,1.63,0.0
2.0,1.7,0.0
2.0,1.63,0.0
2.0,1.65,0.0
2.0,1.85,0.0
2.0,1.75,0.0
2.0,1.57,0.0
2.0,1.88,0.0
2.0,1.57,0.0
2.0,1.7,0.0
2.0,1.68,0.0
2.0,1.78,0.0
1.0,1.6,1.0
1.0,1.68,1.0
2.0,1.68,0.0
1.0,1.7,1.0
1.0,1.68,1.0
2.0,1.8,0.0
2.0,1.63,0.0
1.0,1.57,1.0
2.0,1.73,0.0
1.0,1.6,1.0
1.0,1.85,1.0
2.0,1.88,0.0
2.0,1.78,0.0
2.0,1.88,0.0
1.0,1.78,1.0
1.0,1.7,1.0
2.0,1.73,0.0
2.0,1.55,0.0
2.0,1.68,0.0
2.0,1.65,0.0
2.0,1.7,0.0
1.0,1.8,1.0
2.0,1.52,0.0
2.0,1.7,0.0
2.0,1.73,0.0
2.0,1.75,0.0
2.0,1.57,0.0
2.0,1.8,0.0
1.0,1.65,1.0
2.0,1.75,0.0
2.0,1.73,0.0
1.0,1.57,1.0
1.0,1.73,1.0
2.0,1.6,0.0
2.0,1.78,0.0
2.0,1.8,0.0
2.0,1.85,0.0
2.0,1.75,0.0
2.0,1.83,0.0
2.0,1.73,0.0
2.0,1.6,0.0
2.0,1.55,0.0
2.0,1.8,0.0
2.0,1.63,0.0
2.0,1.6,0.0
2.0,1.6,0.0
2.0,1.85,0.0
2.0,1.8,0.0
1.0,1.75,1.0
2.0,1.7,0.0
2.0,1.8,0.0
2.0,1.7,0.0
1.0,1.73,1.0
2.0,1.7,0.0
1.0,1.57,1.0
2.0,1.68,0.0
1.0,1.75,1.0
2.0,1.7,0.0
1.0,1.57,1.0
1.0,1.6,1.0
2.0,1.73,0.0
2.0,1.8,0.0
2.0,1.8,0.0
1.0,1.8,1.0
1.0,1.83,1.0
1.0,1.85,1.0
1.0,1.83,1.0
2.0,1.75,0.0
2.0,1.8,0.0
2.0,1.75,0.0
2.0,1.83,0.0
2.0,1.78,0.0
2.0,1.78,0.0
2.0,1.68,0.0
1.0,1.65,1.0
2.0,1.6,0.0
2.0,1.6,0.0
2.0,1.63,0.0
1.0,1.68,1.0
2.0,1.8,0.0
2.0,1.75,0.0
1.0,1.8,1.0
2.0,1.68,0.0
2.0,1.52,0.0
1.0,1.73,1.0
2.0,1.65,0.0
1.0,1.57,1.0
1.0,1.52,1.0
1.0,1.6,1.0
2.0,1.5,0.0
2.0,1.63,0.0
1.0,1.6,1.0
1.0,1.63,1.0
2.0,1.88,0.0
1.0,1.75,1.0
2.0,1.75,0.0
2.0,1.88,0.0
2.0,1.75,0.0
2.0,1.75,0.0
2.0,1.68,0.0
2.0,1.68,0.0
1.0,1.7,1.0
2.0,1.73,0.0
2.0,1.78,0.0
1.0,1.75,1.0
1.0,1.5,1.0
1.0,1.63,1.0
2.0,1.55,0.0
1.0,1.63,1.0
1.0,1.65,1.0
1.0,1.7,1.0
2.0,1.68,0.0
1.0,1.5,1.0
2.0,1.63,0.0
2.0,1.65,0.0
2.0,1.65,0.0
2.0,1.65,0.0
2.0,1.65,0.0
2.0,1.5,0.0
1.0,1.57,1.0
2.0,1.6,0.0
2.0,1.63,0.0
1.0,1.7,1.0
1.0,1.75,1.0
2.0,1.57,0.0
2.0,1.68,0.0
2.0,1.88,0.0
2.0,1.93,0.0
1.0,1.83,1.0
1.0,1.75,1.0
2.0,1.85,0.0
2.0,1.9,0.0
2.0,1.7,0.0
1.0,1.73,1.0
2.0,1.85,0.0
2.0,1.6,0.0
2.0,1.78,0.0
2.0,1.8,0.0
2.0,1.68,0.0
2.0,1.73,0.0
2.0,1.63,0.0
2.0,1.57,0.0
2.0,1.73,0.0
1.0,1.88,1.0
2.0,1.7,0.0
2.0,1.57,0.0
2.0,1.55,0.0
2.0,1.63,0.0
1.0,1.73,1.0
2.0,1.47,0.0
2.0,1.68,0.0
2.0,1.65,0.0
1.0,1.75,1.0
1.0,1.6,1.0
1.0,1.65,1.0
1.0,1.75,1.0
2.0,1.63,0.0
1.0,1.68,1.0
2.0,1.57,0.0
1.0,1.75,1.0
2.0,1.85,0.0
2.0,1.65,0.0
2.0,1.73,0.0
2.0,1.73,0.0
1.0,1.8,1.0
2.0,1.52,0.0
2.0,1.5,0.0
2.0,1.68,0.0
2.0,1.68,0.0
2.0,1.73,0.0
2.0,1.68,0.0
1.0,1.52,1.0
2.0,1.55,0.0
2.0,1.63,0.0
1.0,1.63,1.0
2.0,1.52,0.0
2.0,1.7,0.0
2.0,1.73,0.0
2.0,1.8,0.0
2.0,1.75,0.0
2.0,2.03,0.0
1.0,1.83,1.0
1.0,1.75,1.0
2.0,1.7,0.0
1.0,1.85,1.0
2.0,1.83,0.0
1.0,1.52,1.0
2.0,1.57,0.0
2.0,1.63,0.0
2.0,1.6,0.0
1.0,1.63,1.0
2.0,1.68,0.0
2.0,1.7,0.0
2.0,1.85,0.0
2.0,1.83,0.0
2.0,1.73,0.0
2.0,1.55,0.0
2.0,1.73,0.0
2.0,1.83,0.0
2.0,1.63,0.0
1.0,1.78,1.0
1.0,1.6,1.0
1.0,1.6,1.0
2.0,1.52,0.0
2.0,1.73,0.0
2.0,1.57,0.0
2.0,1.6,0.0
1.0,1.7,1.0
2.0,1.75,0.0
2.0,1.75,0.0
1.0,1.7,1.0
2.0,1.7,0.0
2.0,1.75,0.0
2.0,1.8,0.0
1.0,1.88,1.0
2.0,1.73,0.0
1.0,1.85,1.0
2.0,1.73,0.0
2.0,1.68,0.0
2.0,1.75,0.0
2.0,1.7,0.0
1.0,1.7,1.0
2.0,1.55,0.0
1.0,1.55,1.0
2.0,1.57,0.0
2.0,1.78,0.0
2.0,1.63,0.0
1.0,1.65,1.0
2.0,1.68,0.0
2.0,1.68,0.0
2.0,1.75,0.0
1.0,1.78,1.0
2.0,1.8,0.0
1.0,1.8,1.0
2.0,1.57,0.0
2.0,1.73,0.0
1.0,1.65,1.0
1.0,1.55,1.0
2.0,1.57,0.0
2.0,1.73,0.0
2.0,1.57,0.0
2.0,1.68,0.0
1.0,1.88,1.0
1.0,1.68,1.0
2.0,1.75,0.0
2.0,1.73,0.0
2.0,1.73,0.0
2.0,1.8,0.0
2.0,1.8,0.0
1.0,1.85,1.0
2.0,1.7,0.0
2.0,1.73,0.0
1.0,1.83,1.0
2.0,1.83,0.0
2.0,1.8,0.0
2.0,1.83,0.0
2.0,1.8,0.0
2.0,1.7,0.0
2.0,1.78,0.0
1.0,1.6,1.0
2.0,1.85,0.0
1.0,1.68,1.0
2.0,1.55,0.0
2.0,1.7,0.0
2.0,1.55,0.0
1.0,1.75,1.0
2.0,1.73,0.0
2.0,1.7,0.0
1.0,1.75,1.0
2.0,1.6,0.0
1.0,1.68,1.0
2.0,1.85,0.0
1.0,1.78,1.0
1.0,1.55,1.0
1.0,1.5,1.0
2.0,1.83,0.0
1.0,1.78,1.0
1.0,1.73,1.0
2.0,1.57,0.0
1.0,1.7,1.0
2.0,1.73,0.0
1.0,1.78,1.0
2.0,1.83,0.0
2.0,1.65,0.0
1.0,1.88,1.0
2.0,1.96,0.0
1.0,1.5,1.0
1.0,1.65,1.0
1.0,1.6,1.0
2.0,1.73,0.0
1.0,1.45,1.0
1.0,1.52,1.0
2.0,1.5,0.0
2.0,1.7,0.0
2.0,1.73,0.0
2.0,1.78,0.0
2.0,1.7,0.0
1.0,1.73,1.0
1.0,1.73,1.0
2.0,1.85,0.0
1.0,1.57,1.0
2.0,1.7,0.0
2.0,1.63,0.0
1.0,1.68,1.0
1.0,1.7,1.0
2.0,1.7,0.0
2.0,1.65,0.0
2.0,1.98,0.0
1.0,1.65,1.0
1.0,1.7,1.0
2.0,1.6,0.0
2.0,1.55,0.0
2.0,1.65,0.0
2.0,1.78,0.0
2.0,1.7,0.0
2.0,1.78,0.0
2.0,1.7,0.0
2.0,1.52,0.0
1.0,1.63,1.0
1.0,1.65,1.0
2.0,1.65,0.0
1.0,1.73,1.0
2.0,1.73,0.0
2.0,1.85,0.0
2.0,1.73,0.0
2.0,1.75,0.0
2.0,1.8,0.0
2.0,1.65,0.0
2.0,1.88,0.0
2.0,1.78,0.0
2.0,1.68,0.0
1.0,1.65,1.0
2.0,1.6,0.0
2.0,1.52,0.0
2.0,1.7,0.0
2.0,1.68,0.0
1.0,1.88,1.0
2.0,1.85,0.0
2.0,1.65,0.0
1.0,1.68,1.0
2.0,1.57,0.0
2.0,1.63,0.0
2.0,1.63,0.0
2.0,1.75,0.0
2.0,1.7,0.0
2.0,1.85,0.0
1.0,1.75,1.0
2.0,2.06,0.0
2.0,1.8,0.0
2.0,1.52,0.0
2.0,1.5,0.0
1.0,1.7,1.0
1.0,1.6,1.0
1.0,1.63,1.0
1.0,1.65,1.0
2.0,1.8,0.0
2.0,1.6,0.0
2.0,1.88,0.0
2.0,1.78,0.0
2.0,1.83,0.0
2.0,1.78,0.0
2.0,1.8,0.0
2.0,1.78,0.0
2.0,1.8,0.0
1.0,1.88,1.0
2.0,1.65,0.0
2.0,1.65,0.0
2.0,1.6,0.0
1.0,1.63,1.0
2.0,1.57,0.0
2.0,1.55,0.0
2.0,1.73,0.0
2.0,1.57,0.0
2.0,1.65,0.0
2.0,1.57,0.0
2.0,1.73,0.0
2.0,1.73,0.0
2.0,1.65,0.0
2.0,1.65,0.0
2.0,1.68,0.0
1.0,1.65,1.0
1.0,1.6,1.0
2.0,1.75,0.0
2.0,1.93,0.0
2.0,1.7,0.0
2.0,1.85,0.0
2.0,1.8,0.0
2.0,1.65,0.0
1.0,1.6,1.0
2.0,1.6,0.0
2.0,1.75,0.0
2.0,1.75,0.0
2.0,1.63,0.0
2.0,1.75,0.0
1.0,1.73,1.0
1.0,1.88,1.0
1.0,1.65,1.0
2.0,1.85,0.0
2.0,1.83,0.0
1.0,1.55,1.0
2.0,1.75,0.0
1.0,1.57,1.0
2.0,1.55,0.0
2.0,1.6,0.0
2.0,1.7,0.0
1.0,1.68,1.0
2.0,1.65,0.0
1.0,1.7,1.0
2.0,1.88,0.0
2.0,1.75,0.0
2.0,1.78,0.0
2.0,1.73,0.0
1.0,1.9,1.0
2.0,1.8,0.0
2.0,1.7,0.0
2.0,1.75,0.0
2.0,1.7,0.0
2.0,1.83,0.0
2.0,1.83,0.0
2.0,1.75,0.0
2.0,1.98,0.0
2.0,1.78,0.0
2.0,1.6,0.0
2.0,1.68,0.0
2.0,1.65,0.0
1.0,1.96,1.0
2.0,1.55,0.0
1.0,1.65,1.0
2.0,1.83,0.0
2.0,1.6,0.0
2.0,1.6,0.0
2.0,1.73,0.0
2.0,1.6,0.0
2.0,1.8,0.0
2.0,1.75,0.0
2.0,1.8,0.0
2.0,1.78,0.0
2.0,1.7,0.0
1.0,1.65,1.0
2.0,1.8,0.0
1.0,1.65,1.0
1.0,1.7,1.0
2.0,1.52,0.0
1.0,1.68,1.0
2.0,1.55,0.0
2.0,1.68,0.0
2.0,1.85,0.0
2.0,1.55,0.0
2.0,1.83,0.0
2.0,1.78,0.0
1.0,1.8,1.0
2.0,1.8,0.0
2.0,1.83,0.0
2.0,1.9,0.0
2.0,1.9,0.0
2.0,1.7,0.0
2.0,1.8,0.0
2.0,1.7,0.0
2.0,1.78,0.0
2.0,1.83,0.0
2.0,1.78,0.0
2.0,1.65,0.0
2.0,1.83,0.0
1.0,1.78,1.0
2.0,1.83,0.0
2.0,1.73,0.0
2.0,1.8,0.0
2.0,1.75,0.0
2.0,1.73,0.0
2.0,1.78,0.0
2.0,1.68,0.0
1.0,1.68,1.0
1.0,1.65,1.0
2.0,1.6,0.0
2.0,1.73,0.0
2.0,1.68,0.0
1.0,1.65,1.0
2.0,1.35,0.0
1.0,1.68,1.0
1.0,1.7,1.0
2.0,1.5,0.0
2.0,1.63,0.0
1.0,1.65,1.0
2.0,1.78,0.0
2.0,1.52,0.0
2.0,1.63,0.0
1.0,1.63,1.0
2.0,1.75,0.0
2.0,1.75,0.0
2.0,1.7,0.0
2.0,1.55,0.0
2.0,1.75,0.0
